Precinct,D.Total.Str,R.Total.Str,Other.Str,D.Total,R.Total,Other,Check,Total
Auburn 1,216,313,21,491,693,30,1214,1222
BayCity 1.1,568,399,18,983,757,41,1781,1787
BayCity 2.1,603,325,24,1117,698,27,1842,1852
BayCity 3.1,563,327,34,882,613,37,1532,1542
BayCity 4.1,571,404,36,942,752,44,1738,1747
BayCity 5.1,627,456,22,1114,970,41,2125,2141
BayCity 6.1,528,408,36,847,783,38,1668,1673
BayCity 7.1,547,444,15,946,863,42,1851,1857
BayCity 8.1,495,435,32,893,847,50,1790,1797
BayCity 9.1,530,459,33,900,905,30,1835,1844
Essexville 1,282,234,6,517,518,25,1060,1069
Essexville 2,272,248,13,541,550,14,1105,1113
Pinconning 1,129,170,7,247,336,9,592,596
Bangor 1,231,257,8,478,652,19,1149,1156
Bangor 2,238,362,21,573,842,20,1435,1444
Bangor 3,322,379,11,620,814,15,1449,1459
Bangor 4,326,287,9,573,637,17,1227,1236
Bangor 5,442,511,20,863,1053,22,1938,1947
Bangor 6,336,334,17,707,778,29,1514,1520
Beaver 1,246,507,16,550,1179,30,1759,1773
Franken 1,421,699,15,900,1518,37,2455,2462
Fraser 1,350,581,15,620,1200,26,1846,1851
Garfield 1,152,324,14,313,708,20,1041,1043
Gibson 1,67,234,6,136,447,11,594,598
Hampton 1,163,165,5,333,414,10,757,757
Hampton 2,257,280,11,535,666,20,1221,1224
Hampton 3,283,274,4,523,621,15,1159,1168
Hampton 4,697,416,26,1235,817,34,2086,2096
Hampton 5,245,281,12,448,537,19,1004,1008
Kawkawlin 1,231,373,26,525,982,36,1543,1550
Kawkawlin 2,207,284,6,457,780,23,1260,1265
Merritt 1,129,251,11,251,625,7,883,891
Monitor 1,200,196,10,341,420,6,767,769
Monitor 2,279,340,12,706,879,26,1611,1617
Monitor 3,181,321,11,452,858,27,1337,1344
Monitor 4,246,209,6,530,526,13,1069,1075
Monitor 5,247,337,14,555,919,23,1497,1503
Monitor 6,155,207,2,331,507,9,847,852
Forest 1,122,260,12,228,583,11,822,824
Pinconning 1,235,448,22,445,940,16,1401,1406
Portsmouth 1,185,202,8,366,540,12,918,920
Portsmouth 2,265,276,8,509,656,19,1184,1188
Williams 1,226,392,5,543,1019,38,1600,1609
Williams 2,198,340,13,436,658,13,1107,1107
Williams 3,56,113,0,151,287,9,447,449
