Electors of President and Vice-President of the United States (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joseph R. Biden/Kamala D. Harris,,,Donald J. Trump/Michael R. Pence,,,Jo Jorgensen/Jeremy Cohen,,,Don Blankenship/William Mohr,,,Howie Hawkins/Angela Walker,,,Rocky De La Fuente/Darcy Richardson,,,Rejected write-ins,,,Unassigned write-ins,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Addison Township, Precinct 1",1930,344,95,439,530,593,1123,10,9,19,1,0,1,1,1,2,1,0,1,0,0,0,0,1,1,1586
"Addison Township, Precinct 2",1937,407,77,484,606,490,1096,10,7,17,0,0,0,4,0,4,1,0,1,0,0,0,2,2,4,1606
"Addison Township, Precinct 3",1379,274,62,336,323,390,713,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1061
"Bloomfield Township, Precinct 1",1758,563,122,685,353,264,617,4,2,6,0,0,0,0,2,2,1,0,1,0,0,0,3,0,3,1314
"Bloomfield Township, Precinct 2",2330,859,240,1099,414,296,710,8,6,14,0,0,0,2,5,7,1,1,2,0,0,0,1,2,3,1835
"Bloomfield Township, Precinct 3",2215,820,211,1031,346,239,585,8,1,9,4,2,6,1,1,2,0,0,0,0,0,0,4,1,5,1638
"Bloomfield Township, Precinct 4",1571,572,121,693,326,231,557,6,3,9,0,0,0,1,0,1,0,0,0,0,0,0,3,2,5,1265
"Bloomfield Township, Precinct 5",2316,819,261,1080,398,364,762,6,6,12,5,0,5,3,3,6,0,0,0,0,0,0,3,0,3,1868
"Bloomfield Township, Precinct 6",2096,695,160,855,523,310,833,3,3,6,0,0,0,2,2,4,0,0,0,0,0,0,5,0,5,1703
"Bloomfield Township, Precinct 7",2262,747,176,923,477,448,925,10,8,18,1,0,1,1,0,1,0,0,0,0,0,0,3,2,5,1873
"Bloomfield Township, Precinct 8",2115,836,117,953,498,205,703,15,2,17,1,0,1,1,1,2,0,0,0,0,0,0,3,2,5,1681
"Bloomfield Township, Precinct 9",2433,867,134,1001,573,349,922,9,8,17,3,0,3,4,0,4,0,1,1,0,0,0,7,0,7,1955
"Bloomfield Township, Precinct 10",1845,684,135,819,385,291,676,10,2,12,1,0,1,0,0,0,0,0,0,0,0,0,3,2,5,1513
"Bloomfield Township, Precinct 11",1415,596,74,670,304,187,491,4,3,7,1,0,1,1,1,2,0,0,0,0,0,0,1,2,3,1174
"Bloomfield Township, Precinct 12",2019,858,102,960,441,263,704,2,3,5,2,0,2,1,0,1,0,0,0,0,0,0,3,1,4,1676
"Bloomfield Township, Precinct 13",1879,783,134,917,297,267,564,9,8,17,0,1,1,0,4,4,1,0,1,0,0,0,2,4,6,1510
"Bloomfield Township, Precinct 14",1760,782,135,917,295,205,500,4,2,6,4,0,4,1,0,1,0,0,0,0,0,0,0,1,1,1429
"Bloomfield Township, Precinct 15",2742,952,174,1126,622,382,1004,5,4,9,3,0,3,1,0,1,0,0,0,0,0,0,2,5,7,2150
"Bloomfield Township, Precinct 16",3161,1028,168,1196,843,538,1381,23,8,31,0,0,0,2,1,3,0,0,0,0,0,0,6,0,6,2617
"Bloomfield Township, Precinct 17",2348,1106,160,1266,379,262,641,10,3,13,3,0,3,1,1,2,0,0,0,0,0,0,3,0,3,1928
"Bloomfield Township, Precinct 18",2188,780,169,949,506,350,856,7,5,12,0,0,0,0,2,2,0,0,0,0,0,0,3,2,5,1824
"Brandon Township, Precinct 1",2351,427,153,580,436,728,1164,8,11,19,1,0,1,2,1,3,0,0,0,0,0,0,4,3,7,1774
"Brandon Township, Precinct 2",2523,493,183,676,521,708,1229,13,14,27,0,1,1,3,0,3,0,0,0,0,0,0,0,2,2,1938
"Brandon Township, Precinct 3",2620,456,225,681,503,864,1367,10,14,24,0,2,2,1,2,3,0,0,0,0,0,0,8,4,12,2089
"Brandon Township, Precinct 4",2937,551,179,730,597,907,1504,12,19,31,2,0,2,2,2,4,0,0,0,0,0,0,5,2,7,2278
"Brandon Township, Precinct 5",1799,157,216,373,79,427,506,4,12,16,0,0,0,1,3,4,0,0,0,0,0,0,3,0,3,902
"Brandon Township, Precinct 6",1169,185,133,318,150,362,512,3,6,9,0,2,2,1,1,2,1,0,1,0,0,0,0,0,0,844
"Commerce Township, Precinct 1",2391,576,160,736,564,552,1116,14,10,24,0,0,0,0,2,2,0,0,0,0,0,0,2,1,3,1881
"Commerce Township, Precinct 2",2585,636,173,809,527,507,1034,10,5,15,1,0,1,3,6,9,0,0,0,0,0,0,2,4,6,1874
"Commerce Township, Precinct 3",2658,897,171,1068,565,394,959,5,2,7,2,0,2,2,1,3,0,0,0,0,0,0,3,0,3,2042
"Commerce Township, Precinct 4",2534,634,183,817,518,576,1094,13,5,18,1,0,1,2,3,5,0,0,0,0,0,0,3,0,3,1938
"Commerce Township, Precinct 5",2754,690,140,830,646,560,1206,9,5,14,0,1,1,3,1,4,0,0,0,0,0,0,1,0,1,2056
