Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Addison Township, Precinct 1",1930,174,52,226,326,347,673,1,3,4,0,0,0,0,0,0,1,1,2,0,0,0,905
"Addison Township, Precinct 2",1937,210,26,236,401,315,716,2,2,4,1,0,1,1,0,1,2,0,2,0,0,0,960
"Addison Township, Precinct 3",1379,131,24,155,213,222,435,1,1,2,0,0,0,0,1,1,0,1,1,0,0,0,594
"Bloomfield Township, Precinct 1",1758,318,69,387,229,163,392,2,3,5,0,1,1,0,0,0,0,1,1,0,0,0,786
"Bloomfield Township, Precinct 2",2330,481,129,610,260,176,436,3,2,5,0,0,0,0,0,0,0,2,2,0,0,0,1053
"Bloomfield Township, Precinct 3",2215,498,123,621,219,152,371,1,1,2,0,0,0,0,1,1,1,1,2,1,0,1,998
"Bloomfield Township, Precinct 4",1571,334,69,403,222,140,362,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,771
"Bloomfield Township, Precinct 5",2316,403,131,534,242,247,489,2,2,4,0,0,0,0,1,1,2,1,3,1,0,1,1032
"Bloomfield Township, Precinct 6",2096,348,74,422,364,185,549,1,2,3,0,0,0,1,0,1,1,1,2,1,0,1,978
"Bloomfield Township, Precinct 7",2262,334,78,412,312,267,579,2,2,4,0,0,0,0,0,0,1,0,1,0,0,0,996
"Bloomfield Township, Precinct 8",2115,459,57,516,325,140,465,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,983
"Bloomfield Township, Precinct 9",2433,436,63,499,358,205,563,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1065
"Bloomfield Township, Precinct 10",1845,282,55,337,244,208,452,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,793
"Bloomfield Township, Precinct 11",1415,298,41,339,177,121,298,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,640
"Bloomfield Township, Precinct 12",2019,409,50,459,256,177,433,1,0,1,1,0,1,3,0,3,1,1,2,0,0,0,899
"Bloomfield Township, Precinct 13",1879,435,71,506,176,169,345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,852
"Bloomfield Township, Precinct 14",1760,370,57,427,176,103,279,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,708
"Bloomfield Township, Precinct 15",2742,530,94,624,353,265,618,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1244
"Bloomfield Township, Precinct 16",3161,384,43,427,538,271,809,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1239
"Bloomfield Township, Precinct 17",2348,566,85,651,233,176,409,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1063
"Bloomfield Township, Precinct 18",2188,333,58,391,310,212,522,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,917
"Brandon Township, Precinct 1",2351,191,62,253,244,397,641,0,3,3,0,0,0,2,0,2,0,3,3,0,0,0,902
"Brandon Township, Precinct 2",2523,244,62,306,333,395,728,0,4,4,0,0,0,1,4,5,3,1,4,0,0,0,1047
"Brandon Township, Precinct 3",2620,192,79,271,289,512,801,2,7,9,0,2,2,0,3,3,1,1,2,1,0,1,1089
"Brandon Township, Precinct 4",2937,250,84,334,366,534,900,2,6,8,0,0,0,0,1,1,0,2,2,0,2,2,1247
"Brandon Township, Precinct 5",1799,103,125,228,54,259,313,1,6,7,0,1,1,0,4,4,0,3,3,0,0,0,556
"Brandon Township, Precinct 6",1169,84,58,142,68,180,248,2,3,5,1,1,2,1,5,6,1,0,1,1,1,2,406
"Commerce Township, Precinct 1",2391,265,78,343,353,324,677,3,4,7,1,0,1,1,1,2,1,0,1,2,0,2,1033
"Commerce Township, Precinct 2",2585,328,78,406,326,308,634,1,2,3,0,0,0,0,2,2,1,3,4,0,1,1,1050
"Commerce Township, Precinct 3",2658,519,89,608,391,243,634,1,0,1,0,0,0,0,1,1,2,0,2,0,0,0,1246
"Commerce Township, Precinct 4",2534,308,79,387,317,349,666,1,3,4,0,0,0,1,1,2,0,1,1,0,0,0,1060
"Commerce Township, Precinct 5",2754,320,48,368,407,326,733,1,2,3,0,0,0,1,1,2,3,1,4,0,0,0,1110
"Commerce Township, Precinct 6",2047,277,63,340,225,271,496,4,4,8,0,0,0,2,1,3,0,1,1,0,0,0,848
"Commerce Township, Precinct 7",2450,261,40,301,409,250,659,2,1,3,0,0,0,0,0,0,2,1,3,0,0,0,966
"Commerce Township, Precinct 8",2651,300,57,357,431,319,750,1,1,2,1,0,1,2,0,2,0,0,0,0,0,0,1112
"Commerce Township, Precinct 9",2886,345,90,435,378,371,749,2,1,3,1,1,2,0,3,3,2,0,2,0,0,0,1194
"Commerce Township, Precinct 10",2375,315,80,395,319,288,607,0,1,1,0,0,0,2,2,4,1,1,2,0,2,2,1011
"Commerce Township, Precinct 11",2714,451,85,536,390,307,697,1,2,3,1,1,2,1,1,2,1,1,2,1,0,1,1243
"Commerce Township, Precinct 12",1492,180,73,253,157,186,343,2,0,2,0,2,2,0,0,0,1,2,3,0,0,0,603
"Commerce Township, Precinct 13",2614,332,98,430,350,309,659,1,3,4,1,1,2,3,0,3,0,3,3,0,0,0,1101
"Commerce Township, Precinct 14",1981,204,118,322,109,267,376,2,4,6,0,0,0,0,6,6,1,0,1,1,0,1,712
"Commerce Township, Precinct 15",2047,222,64,286,242,273,515,2,2,4,1,0,1,0,1,1,1,0,1,0,0,0,808
"Groveland Township, Precinct 1",1295,121,34,155,175,239,414,2,3,5,0,1,1,0,1,1,0,0,0,0,0,0,576
"Groveland Township, Precinct 2",1901,169,63,232,198,306,504,1,4,5,0,0,0,0,1,1,1,1,2,0,1,1,745
"Groveland Township, Precinct 3",1749,130,50,180,233,290,523,4,1,5,0,0,0,0,0,0,1,1,2,0,0,0,710
"Highland Township, Precinct 1",2980,298,55,353,538,387,925,5,3,8,2,0,2,4,1,5,0,1,1,0,0,0,1294
"Highland Township, Precinct 2",2369,218,46,264,358,372,730,2,5,7,0,0,0,0,1,1,1,0,1,0,0,0,1003
"Highland Township, Precinct 3",1793,146,46,192,188,203,391,2,1,3,0,0,0,6,6,12,1,4,5,0,1,1,604
