registered,straight-r,straight-total,ballot-r,ballot-total
1930,1123,1586,673,905
1937,1096,1606,716,960
1379,713,1061,435,594
1758,617,1314,392,786
2330,710,1835,436,1053
2215,585,1638,371,998
1571,557,1265,362,771
2316,762,1868,489,1032
2096,833,1703,549,978
2262,925,1873,579,996
2115,703,1681,465,983
2433,922,1955,563,1065
1845,676,1513,452,793
1415,491,1174,298,640
2019,704,1676,433,899
1879,564,1510,345,852
1760,500,1429,279,708
2742,1004,2150,618,1244
3161,1381,2617,809,1239
2348,641,1928,409,1063
2188,856,1824,522,917
2351,1164,1774,641,902
2523,1229,1938,728,1047
2620,1367,2089,801,1089
2937,1504,2278,900,1247
1799,506,902,313,556
1169,512,844,248,406
2391,1116,1881,677,1033
2585,1034,1874,634,1050
2658,959,2042,634,1246
2534,1094,1938,666,1060
2754,1206,2056,733,1110
2047,837,1557,496,848
2450,1180,2030,659,966
2651,1262,2182,750,1112
2886,1291,2370,749,1194
2375,991,1828,607,1011
2714,1082,2094,697,1243
1492,609,1120,343,603
2614,1051,2017,659,1101
1981,627,1191,376,712
2047,918,1606,515,808
1295,705,1019,414,576
1901,852,1295,504,745
1749,956,1421,523,710
2980,1500,2353,925,1294
2369,1202,1794,730,1003
1793,669,1111,391,604
2497,1149,1976,668,1014
1482,803,1245,447,619
2173,1132,1749,695,997
1525,783,1195,479,658
1656,736,1290,466,688
2660,932,1679,559,950
2252,853,1521,483,820
2438,1162,1823,679,1025
2614,1159,1964,704,1135
2849,1406,2322,865,1247
2125,1039,1745,617,924
2260,1111,1860,688,993
2149,1077,1792,699,984
2579,1245,2142,778,1164
2419,1067,1966,633,1053
2637,1097,2129,655,1145
1968,986,1642,585,886
2577,1292,2153,772,1137
2599,963,1700,599,1028
2861,1287,2128,752,1163
1194,524,944,325,540
1931,834,1492,488,828
2532,1101,1969,671,1087
535,256,439,166,254
2577,1051,1867,702,1106
2009,929,1576,566,876
2302,1105,1934,705,1074
3268,1664,2827,1105,1629
468,179,390,113,218
508,263,448,176,263
2195,975,1897,553,929
1880,961,1574,573,793
1958,749,1214,493,748
1995,971,1613,607,901
1565,747,1261,468,693
1610,723,1293,448,696
1857,712,1491,436,795
2252,881,1816,554,987
1475,579,1180,345,637
138,54,121,32,65
1976,957,1695,592,919
2305,1079,1823,641,1003
1201,670,1048,436,585
1646,839,1381,545,775
2108,842,1783,535,977
2281,1153,1853,729,1041
2701,1300,2192,874,1305
1596,779,1345,505,779
2163,929,1660,513,823
2414,1017,1784,612,975
2083,990,1687,614,897
2356,1165,1921,650,967
2370,1051,1930,622,985
1870,833,1537,451,716
2164,861,1605,481,861
1915,780,1537,477,787
2511,1017,2023,623,1076
1728,709,1356,399,644
1398,605,1070,336,538
2160,843,1605,447,794
2128,845,1620,513,850
1381,572,1113,320,512
2189,780,1553,447,849
2775,1156,2063,712,1162
2468,971,1594,595,903
2804,1336,2245,790,1157
2599,1312,2093,765,1073
1985,816,1412,513,808
2371,1273,1895,767,1022
2786,1371,2302,825,1229
1432,699,1117,398,588
1904,952,1431,567,788
2014,1018,1539,623,848
1505,33,768,16,571
1143,14,654,11,506
961,263,804,148,397
1130,323,931,182,459
901,274,779,151,364
1357,454,1175,271,541
1450,370,1207,212,657
2151,698,1819,427,919
1173,418,970,255,452
1529,419,1311,251,648
1337,376,1102,222,587
1041,368,876,259,504
1694,855,1365,548,755
2001,868,1418,542,829
2260,1144,1766,690,960
1581,723,1231,418,659
1928,989,1592,589,856
1773,850,1474,486,734
984,511,801,281,396
984,450,769,259,400
3117,1300,2319,716,1190
2991,1168,2105,658,1133
2856,1257,2076,783,1180
3213,1386,2470,814,1310
2955,1201,2154,667,1127
3076,1157,2114,655,1130
2852,1121,1996,656,1134
2913,1177,2153,664,1153
1674,711,1273,438,729
2971,906,1930,530,1104
3016,1108,2156,647,1209
3111,1141,2157,639,1194
3024,861,1869,501,1118
3128,885,2070,502,1237
3312,1380,2446,837,1362
3039,1103,2152,668,1247
2479,926,1828,569,1046
2814,1032,2033,614,1170
3195,1184,2276,734,1367
3092,1004,1993,608,1137
2393,676,1889,420,1116
2518,1054,1972,657,1157
1159,410,905,261,580
2527,809,1972,515,1120
2420,878,1943,575,1227
2144,661,1664,461,1135
1707,445,1336,270,777
2548,935,2103,541,1108
1874,477,1497,277,864
2668,765,2121,480,1220
2360,597,1787,368,1126
2609,540,1960,356,1346
2165,564,1742,337,954
1914,791,1511,490,876
2896,793,2264,505,1411
2553,860,2041,525,1174
2414,638,1912,406,1124
1900,713,1543,452,951
2093,473,1700,326,1155
1529,434,1159,291,725
2018,544,1457,380,1002
2811,849,2135,587,1415
3059,1054,2402,732,1614
2063,816,1609,615,1137
2284,835,1817,467,1031
2466,1090,1956,644,1053
2422,1128,1834,655,965
1476,694,1192,377,572
1130,580,921,353,472
2356,1051,1873,630,986
3028,1261,2108,762,1184
1897,897,1527,513,791
2864,1138,1904,686,1090
2228,931,1649,518,859
2672,1042,1755,578,925
2497,1212,1939,670,1029
1476,633,1175,376,633
1270,394,831,252,525
1587,320,1105,206,709
2187,607,1451,355,866
1962,531,1287,349,799
1434,495,1106,298,630
2395,836,1843,542,1077
2052,412,1401,242,917
1846,426,1211,256,778
1516,364,969,246,632
2054,569,1678,292,798
1876,499,1562,272,778
1953,486,1525,297,809
1958,512,1632,235,759
1734,421,1381,253,737
1957,501,1510,284,765
1933,476,1520,267,774
2129,754,1657,465,816
2090,680,1681,392,816
1887,524,1465,318,762
2137,809,1755,517,854
2097,678,1732,406,863
2422,714,1880,447,984
2475,693,1898,394,933
2091,652,1596,390,851
1639,513,1278,309,634
2236,871,1751,577,1010
1799,657,1382,447,781
855,334,661,196,334
2560,797,2026,434,1040
1761,526,1374,300,682
1725,587,1405,298,668
1635,492,1265,288,642
2142,750,1752,408,872
1097,310,900,180,467
1580,454,1254,276,716
1475,421,1129,243,619
1409,342,1059,208,620
1110,320,900,189,485
1236,329,946,218,554
2318,538,1791,370,1166
2525,537,1951,333,1214
2674,640,2187,384,1204
2561,653,2041,417,1256
2307,820,1752,620,1215
1438,244,897,156,609
2472,710,1957,478,1238
2132,557,1699,364,997
2873,842,2310,548,1351
3106,723,2383,475,1436
2558,512,1785,333,1221
2189,457,1763,245,1057
2030,552,1624,338,961
2471,853,2004,497,1084
1400,429,1088,273,636
2953,801,2268,486,1297
2445,272,1486,176,1023
1691,519,1302,322,805
2301,527,1819,312,1126
3000,678,2228,405,1359
2897,822,2151,505,1305
1991,589,1480,356,859
2013,658,1647,422,975
2967,926,2307,550,1394
2933,745,2158,470,1401
2849,688,1996,417,1212
2833,597,1811,373,1207
15,10,14,4,6
2426,344,2051,208,1214
1819,270,1399,166,841
1982,222,1535,138,868
1903,295,1409,169,826
1971,269,1544,153,831
1899,381,1392,235,800
1703,316,1264,187,772
1105,145,826,80,461
1991,261,1620,131,867
2435,512,1480,313,889
2365,565,1557,342,946
2102,545,1266,364,825
1526,371,978,226,612
2402,560,1477,348,903
2009,400,1128,245,726
1328,168,1144,92,576
1080,165,886,91,464
1169,204,1014,104,510
1064,132,902,64,480
1099,166,926,87,465
2258,747,1601,459,917
263,144,229,88,117
1956,235,1602,133,1049
1951,163,1529,90,1019
1977,537,1292,313,760
1689,450,1115,279,648
2029,544,1265,316,763
1978,517,1221,301,695
1644,532,1127,331,652
450,91,263,49,190
2369,797,1768,457,955
2924,969,2134,558,1181
2436,800,1803,459,996
2046,698,1513,403,828
3073,639,1810,418,1222
2775,1018,2284,607,1187
1996,709,1607,425,899
2552,802,2002,525,1190
1868,566,1437,326,872
2064,612,1635,381,966
1851,497,1310,305,790
2130,606,1637,389,999
1997,539,1485,352,971
2015,672,1557,441,977
1737,600,1441,371,859
1269,493,1075,367,699
2179,512,1372,313,878
2115,366,1383,215,899
2022,682,1587,411,960
1187,343,946,243,677
1643,508,1328,309,780
1849,682,1577,428,844
1645,616,1371,400,776
1966,733,1610,446,884
2008,694,1638,415,891
1244,461,1004,319,629
1830,600,1517,409,894
1836,477,1198,311,779
1626,580,1313,376,766
1885,722,1554,416,842
1161,551,984,387,619
1353,149,756,103,559
1736,544,1267,288,736
1916,535,1392,320,846
1538,425,960,271,701
1209,72,792,41,568
1721,259,1149,147,829
1751,78,1161,47,885
1747,59,1190,30,943
1716,73,1162,33,929
1891,78,1322,46,1043
1675,163,977,116,781
1885,112,1308,71,989
1825,74,1231,42,903
1405,179,1058,90,647
1412,130,1036,72,689
1648,241,1204,135,689
2118,970,1715,671,1062
2513,381,2023,207,1104
2957,78,1460,42,1197
2369,139,1018,98,823
2138,152,1290,93,976
1923,340,1132,187,706
2023,223,1045,111,683
2370,161,1214,97,887
1452,107,463,83,387
2568,370,1135,248,852
1810,132,717,90,589
637,99,292,65,224
3252,517,1674,331,1180
2546,370,1234,256,911
2250,316,1261,200,891
2051,110,896,74,671
2640,117,1321,76,1095
2623,146,1277,92,1012
2490,211,904,134,681
2090,138,603,93,462
2885,82,1153,52,981
2290,92,1174,71,989
2872,110,1182,66,946
2118,579,1504,364,818
2896,908,1995,572,1133
1670,522,1182,311,625
1327,530,1045,350,603
2175,986,1709,582,906
1215,508,952,306,506
2074,765,1654,470,937
1069,260,720,177,454
1519,539,1173,350,673
1436,502,1089,318,645
2117,887,1648,581,999
2657,1001,1969,671,1234
1095,426,886,260,462
1005,430,839,282,467
2362,883,1916,475,923
1505,473,1231,276,620
1766,615,1250,398,743
2108,965,1762,586,979
1692,713,1315,460,782
2491,931,1978,565,1135
2192,693,1355,443,832
2443,920,1869,566,1070
2498,881,1971,552,1086
1454,641,1236,385,644
1350,606,1145,368,575
1247,443,1003,251,542
2005,943,1688,604,957
1405,492,1127,304,610
1403,471,1083,287,588
1796,698,1467,435,850
2307,902,1869,516,956
2594,969,2049,581,1098
1843,670,1485,416,873
1919,501,1313,340,871
1124,426,901,244,471
2374,812,1886,453,954
1517,560,1215,348,703
1767,662,1420,401,810
2342,471,1680,271,869
2566,642,1890,345,972
1704,469,1337,263,686
1865,441,1416,240,710
1646,374,1246,215,700
2904,602,2184,321,1100
1976,408,1402,265,847
2579,707,2022,374,994
2967,660,2233,357,1135
2137,563,1641,323,834
1872,470,1379,288,759
2050,519,1503,289,766
2205,586,1685,345,874
1762,487,1441,262,682
1724,353,1175,230,694
2864,736,2167,412,1123
1934,495,1541,283,785
2071,488,1569,283,816
2927,808,2313,442,1188
2290,627,1832,366,922
2237,530,1692,307,972
2300,606,1783,338,941
1869,513,1406,293,737
1226,336,949,176,469
3315,1264,2542,809,1465
2331,889,1726,516,887
2376,994,1919,588,993
1772,611,1231,362,668
1753,146,1348,98,978
2135,268,1697,184,1093
1822,191,1316,112,932
2201,236,1582,152,1144
1267,219,1018,125,623
1669,165,1276,101,896
1809,94,1373,54,1000
1469,127,1135,76,829
1913,249,1315,166,910
1852,135,1344,91,989
2001,91,1428,58,1105
1605,103,1254,66,955
1743,335,1288,189,922
1569,481,1094,311,795
1433,99,1013,57,745
1600,89,1168,45,866
1817,299,1341,169,987
1893,53,1313,28,1039
1474,114,1001,62,736
1884,69,1369,44,1069
2015,67,1480,35,1139
2099,76,1439,39,1181
2015,128,1457,78,1066
1847,88,1280,49,938
1485,133,1122,76,817
1844,195,1413,118,997
1785,77,1216,50,961
1873,83,1120,52,882
2290,182,1729,100,1246
2085,203,1489,141,1152
2010,122,1351,93,1062
1517,142,1129,83,847
2019,74,1506,46,1168
1562,238,1058,151,721
1554,88,988,50,767
1582,157,1020,91,770
1566,608,1323,372,712
1480,502,1174,319,725
2461,858,1897,542,1128
2280,928,1789,611,1061
3064,1022,2405,604,1360
1568,701,1297,462,732
544,223,463,157,286
1857,620,1452,427,898
1958,565,1462,347,841
2412,977,1937,597,1106
2226,781,1781,476,983
1967,742,1619,435,905
1561,579,1258,366,724
3004,976,2363,600,1336
2282,813,1757,548,1065
2107,697,1697,427,983
1802,609,1428,372,814
2349,711,1777,460,1061
1658,584,1286,366,684
1588,563,1346,344,674
2370,836,1893,539,1125
1712,553,1310,349,790
2925,920,2270,574,1297
2939,990,2311,590,1359
2562,982,1865,651,1183
2937,877,1933,593,1266
2705,736,1790,470,1094
2125,532,1377,378,943
2039,440,1282,283,804
2610,875,2027,504,1002
614,190,481,114,253
884,343,731,211,390
2136,670,1398,429,893
2148,812,1611,477,960
1531,574,1115,359,654
2829,1206,2249,722,1186
2274,996,1851,537,923
3403,540,1966,372,1386
2885,1006,2153,660,1304
